job_name                                                    ;walltime  ;nproc_io  ;nprocs    ;nnode     ;nthreads  ;nnode_fc  ;ntask_fc  ;nopmp_fc  ;nnode_io  ;ntask_io  ;nopmp_io  ;
L3_FCTI_NHE_SL2_VFD_ADIAB_NGWADV2_PCF_FROC                  ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHE_SL2_VFE_ADIAB_NGWADV2_PCF_FROC                  ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCST_NHE_SL2_CVFE_ADIAB_GWADV2_PCF_FROC                  ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_ADIAB_RDBBC2_PCC_FROC                   ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHQ_SL2_VFD_ADIAB_RDBBC2_PCC_FROC                   ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_ADIAB_RDBBC2_PCF_FROC                   ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHQ_SL2_VFD_ADIAB_RDBBC2_PCF_FROC                   ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_ADIAB_GWADV2_PCC_FROC                   ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHQ_SL2_VFD_ADIAB_GWADV2_PCC_FROC                   ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_ADIAB_GWADV2_PCF_FROC                   ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHQ_SL2_VFD_ADIAB_GWADV2_PCF_FROC                   ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCST_NHQ_SL2_VFE_ADIAB_GWADV2_PCF_FROC                   ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHQ_SL2_VFE_ADIAB_GWADV2_PCF_FROC                   ;        10;         0;        32;         2;         8;         2;        16;         8;         0;         0;         0;
L1_FCST_HYD_SL2_VFD_ARPPHY1D                                ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L1_FCST_HYD_SL2_VFD_AROPHY1D                                ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_HYD_SL3_VFD_ADIAB                                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCTI_HYD_SL3_VFD_ADIAB                                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_HYD_SL2_VFD_ADIAB                                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCTI_HYD_SL2_VFD_ADIAB                                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_NHE_EUL_VFD_ADIAB                                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_NHQ_EUL_VFD_ADIAB                                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_NHE_SL3_VFD_ADIAB                                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCTI_NHE_SL3_VFD_ADIAB                                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_NHQ_SL3_VFD_ADIAB                                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCTI_NHQ_SL3_VFD_ADIAB                                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_NHE_SL2_VFD_ADIAB_RDBBC2_PCF_SETTLS                 ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCTI_NHE_SL2_VFD_ADIAB_RDBBC2_PCF_SETTLS                 ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L2_FCST_NHE_SL2_VFD_ADIAB_RDBBC2_PCF_NESC                   ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
